id,category,item,path,priority,qty,cost_low_usd,cost_typical_usd,cost_high_usd,price_basis,source,checked_date,notes
ENG-001,engine,JDM K24A RBB long block,both,required,1,1100,1400,2000,market_snapshot,https://www.jdm-online.com/products/jdm-04-08-honda-k24a-2-4l-dohc-i-vtec-rbb-200hp-engine-k24a2-acura-tsx-33,2026-08-08,Verify RBB head and actual engine condition; shipping/tax varies.
ENG-002,engine,USDM K24A water-pump housing,both,recommended,1,209,209,209,vendor_current,https://kpower.industries/products/usdm-k24a-water-pump-housing,2026-08-08,KPower specifically recommends this conversion for JDM RBB engines in North-American-style builds.
ENG-003,engine,USDM-compatible water pump,both,recommended,1,45,75,130,planning_estimate,,2026-08-08,Match selected USDM housing.
ENG-004,engine,USDM TSX-style alternator,both,recommended,1,120,220,350,planning_estimate,,2026-08-08,JDM alternator availability is a serviceability issue.
ENG-005,engine,EP3/idler/accessory conversion hardware,both,recommended,1,60,120,220,planning_estimate,,2026-08-08,Confirm pulley/belt layout.
ENG-006,engine,Baseline seals/plugs/fluids/service parts,both,recommended,1,250,600,1200,planning_estimate,,2026-08-08,Do not rebuild a healthy engine by default.
ENG-007,engine,50-degree VTC gear,both,optional,1,359,359,359,vendor_current,https://kpower.industries/collections/universal-rwd-k-swap-parts,2026-08-08,"Performance/tuning option, not required for swap."
ENG-008,engine,K20/PRB oil-pump conversion,both,optional,1,349,549,650,vendor_current,https://kpower.industries/collections/universal-rwd-k-swap-parts,2026-08-08,Only if chosen for RPM/oil-control strategy; pan must match.
OIL-001,oil,Baffled pan for K24 RBB balance-shaft pump,kpower,recommended,1,339,339,339,vendor_current,https://kpower.industries/collections/04-11-rx8,2026-08-08,KPower/Unit2 option for tubular-subframe branch.
OIL-002,oil,Baffle/pan solution for modified stock crossmember,collins,recommended,1,150,350,600,planning_estimate,,2026-08-08,Final selection must clear the actual modified crossmember/rack.
DRV-001,driveline,K24/K20 to RX-8 adapter plate,collins,required,1,650,650,650,vendor_current,https://collinsperformancetechnologies.com/collections/mazda-rx-8,2026-08-08,Reference retained-RX8-trans path.
DRV-002,driveline,K-series to RX-8 flywheel,collins,required,1,861,861,861,vendor_current,https://collinsperformancetechnologies.com/collections/mazda-rx-8,2026-08-08,Required by Collins conversion.
DRV-003,driveline,K-to-RX-8 engine mounts,collins,required,1,400,400,400,vendor_current,https://collinsperformancetechnologies.com/collections/mazda-rx-8,2026-08-08,
DRV-004,driveline,K24 engine-mount bracket adapter,collins,required,1,204,204,204,vendor_current,https://collinsperformancetechnologies.com/collections/mazda-rx-8,2026-08-08,
DRV-005,driveline,RX-8 pilot bearing,collins,required,1,39,39,39,vendor_current,https://collinsperformancetechnologies.com/collections/mazda-rx-8,2026-08-08,
DRV-006,driveline,Flywheel bolt kit,collins,required,1,89,89,89,vendor_current,https://collinsperformancetechnologies.com/collections/mazda-rx-8,2026-08-08,Use vendor-specified bolts/torque procedure.
DRV-007,driveline,"RX-8 clutch system, ~375 ft-lb example",collins,recommended,1,396,396,586,vendor_current,https://collinsperformancetechnologies.com/collections/mazda-rx-8,2026-08-08,Choose torque capacity and drivability to suit build.
DRV-008,driveline,Mazda 6/Mazdaspeed6 clutch slave option,collins,recommended,1,86,86,86,vendor_current,https://collinsperformancetechnologies.com/collections/mazda-rx-8,2026-08-08,Verify against current adapter revision.
DRV-009,driveline,Used NC 5/6-speed,kpower,required,1,500,900,1500,planning_estimate,,2026-08-08,Only if choosing NC-trans branch; resolve PPF/driveshaft interface first.
DRV-010,driveline,KPower NC adapter + flywheel,kpower,required,1,,,,tbd_vendor_quote,https://kpower.industries/collections/kpower-nc-mx5-swap-parts/products/kpower-nc-mx5-swap-kit-no-electronics,2026-08-08,Contained in NC package; public individual price not relied on here.
