claim_id,claim,scope,evidence_type,confidence,primary_source,secondary_source,notes,checked_date
R001,KPower NC tubular subframe is a direct replacement in 2006–2011 RX-8,both,manufacturer,high,https://kpower.industries/blogs/news/rx8-compatible-k-swap-components-now-available-from-kpower-industries,,KPower-specific claim; use with their documented mount/rack architecture.,2026-08-08
R002,KPower subframe avoids rack spacers when used with NC rack,kpower,manufacturer,high,https://kpower.industries/blogs/news/rx8-compatible-k-swap-components-now-available-from-kpower-industries,,Do not generalize to stock RX-8 rack/hybrid setups.,2026-08-08
R003,RX-8 K24 firewall/cowl modification is expected,both,manufacturer + completed builds,high,https://kpower.industries/blogs/news/rx8-compatible-k-swap-components-now-available-from-kpower-industries,https://k24rx8.com/2018/10/23/initial-fitment/,Degree varies by architecture/coolant outlet.,2026-08-08
R004,Collins current configuration can use RX-8 5- or 6-speed,collins,manufacturer,high,https://collinsperformancetechnologies.com/products/honda-k-series-to-mazda-rx-8-swap-kit,,,2026-08-08
R005,Collins path requires rack relocation and crossmember notch,collins,manufacturer,high,https://collinsperformancetechnologies.com/pages/honda-k-series-to-mazda-rx-8-install-instructions,,,2026-08-08
R006,Collins says its setup can be installed by recessing rather than cutting through firewall,collins,manufacturer,medium-high,https://collinsperformancetechnologies.com/pages/honda-k-series-to-mazda-rx-8-install-instructions,https://www.kswappedrx8.com/2021/04/fitting-k24-part-2.html,"Independent JDM K24A build required cutting, so guide plans for configuration-specific surgery.",2026-08-08
R007,JDM K24A RBB is supported in KPower mount family and treated close to TSX K24A2,both,manufacturer,high,https://kpower.industries/products/usdm-k24a-water-pump-housing,https://kpower.industries/collections/items-with-lead-times/products/complete-kpower-nc-mx5-swap-package,,2026-08-08
R008,JDM RBB accessory drive differs; USDM housing/alternator/water pump conversion recommended,both,manufacturer,high,https://kpower.industries/products/usdm-k24a-water-pump-housing,,,2026-08-08
R009,RBB rear coolant outlet is a major firewall packaging issue,both,manufacturer + completed build,high,https://kpower.industries/products/k24a2-upper-coolant-neck-for-nc-mx5,https://www.kswappedrx8.com/2021/03/fitting-k24-into-car-part-one.html,,2026-08-08
R010,KPower provides a K24 RBB balance-shaft-pump baffled-pan option,kpower,manufacturer,high,https://kpower.industries/collections/04-11-rx8,,Therefore K20 pump conversion is not universally required.,2026-08-08
R011,S2 RX-8 CAN is not presented by KPower as solved plug-and-play,s2,manufacturer,high,https://kpower.industries/blogs/news/rx8-compatible-k-swap-components-now-available-from-kpower-industries,,Use standalone-first commissioning strategy.,2026-08-08
R012,Commercial RX-8 CAN emulator advertises cluster/ABS/EPS/A-C functions,s1+s2?,vendor,medium,https://collinsperformancetechnologies.com/products/rx-8-wiring-emulator-for-canbus,https://all4swap.ru/product/rx8,Public page does not explicitly prove 2009 S2; vendor confirmation required.,2026-08-08
R013,2009 RX-8 factory fuel-line test pressure is 375–450 kPa / 54.4–65.2 psi,s2,service_manual,high,https://charm.li/Mazda/2009/RX8%202RTR-1.3L/Repair%20and%20Diagnosis/Powertrain%20Management/Tune-up%20and%20Engine%20Performance%20Checks/Fuel%20Pressure/Testing%20and%20Inspection/,,"Use to evaluate factory feed, not as automatic K24 base-pressure target.",2026-08-08
R014,RX-8-confirmed KPower 4-2-1 header exists,both,manufacturer,high,https://kpower.industries/collections/04-11-rx8,,,2026-08-08
R015,NC-trans to S2 RX-8 rear-driveline recipe is not fully documented in KPower RX-8 public guide,kpower,research_gap,high,https://kpower.industries/blogs/news/rx8-compatible-k-swap-components-now-available-from-kpower-industries,,Keep as explicit gate rather than inferring interchangeability.,2026-08-08
R016,K20Z3 short-block deck is about 0.80 in lower than K24 engines,kpower,manufacturer,high,https://kpower.industries/blogs/news/engine-guidance-for-a-successful-project,,A full K20 can help cowl/height packaging; a K20 head on a K24 block does not gain this deck-height advantage.,2026-08-08
R017,PRB and RBC heads should not both be described only as K20 heads for RX-8 packaging,both,manufacturer + vendor,high,https://kpower.industries/products/k24a2-upper-coolant-neck-for-nc-mx5,https://tractuff.com/product/tractuff-prb-prc-water-neck-flange-v1/,RBC/K20Z remains in the RBB/RBC neck family; PRB/K20A2/K20Z1 uses the earlier PRB/PRC family.,2026-08-08
R018,KPower current mount family supports K20Z3 but not K20A2/K20Z1 blocks,kpower,manufacturer,high,https://kpower.industries/pages/faqs,,A PRB head can be used with the required PRB manifold/neck parts, but the K20A2/K20Z1 block is not a current KPower mount-family bolt-in.,2026-08-08
R019,Collins currently advertises separate RX-8 adapters for K20A2 K20Z3 and K24A2/Z3/A4,collins,manufacturer,high,https://collinsperformancetechnologies.com/collections/engine-mounts,,Do not assume Collins support for engine families outside current listings without vendor confirmation.,2026-08-08
R020,K24A2 bottom end plus K20Z1/PRB head is documented in a completed RX-8 build,both,completed_build,medium-high,https://k24rx8.com/2019/04/08/some-assembly-required/,https://k24rx8.com/2018/10/23/initial-fitment/,Use as build-specific evidence; it does not define a universal firewall shape.,2026-08-08
R021,K24A4 and K24A8 stock pistons can contact a K20 cylinder head,both,vendor,high,https://www.hybrid-racing.com/blogs/hybrid-racing/k20-k24-hybrid-engine-build-guide,,Do not recommend a casual K20-head swap on these bottom ends without a piston strategy.,2026-08-08
R022,K20/K24 hybrids require K24-bore gasket and head-family coolant/manifold planning,both,vendor + specialist,medium-high,https://www.hybrid-racing.com/blogs/hybrid-racing/k20-k24-hybrid-engine-build-guide,https://ff-squad.com/technet2/k20-head-on-k24-block/,Have the exact block/head/gasket/diverter combination verified during assembly.,2026-08-08
